date,area,hour,time_slot,kwh
2026-01-02,A1,14,14:00-16:00,16.57
2026-01-02,A1,16,16:00-18:00,21.07
2026-01-02,A1,18,18:00-20:00,43.36
2026-01-02,A1,20,20:00-22:00,81.37
2026-01-02,A1,22,22:00-24:00,81.06
2026-01-02,A2,0,00:00-02:00,55.53
2026-01-02,A2,2,02:00-04:00,60.15
2026-01-02,A2,4,04:00-06:00,43.09
2026-01-02,A2,6,06:00-08:00,43.08
2026-01-02,A2,8,08:00-10:00,43.09
2026-01-02,A2,10,10:00-12:00,63.12
2026-01-02,A2,12,12:00-14:00,21.71
2026-01-02,A2,14,14:00-16:00,23.41
2026-01-02,A2,16,16:00-18:00,22.86
2026-01-02,A2,18,18:00-20:00,43.91
2026-01-02,A2,20,20:00-22:00,66.69
2026-01-02,A2,22,22:00-24:00,77.97
2026-01-02,A3,0,00:00-02:00,61.89
2026-01-02,A3,2,02:00-04:00,67.51
2026-01-02,A3,4,04:00-06:00,37.09
2026-01-02,A3,6,06:00-08:00,40.49
2026-01-02,A3,8,08:00-10:00,53.89
2026-01-02,A3,10,10:00-12:00,28.8
2026-01-02,A3,12,12:00-14:00,22.06
2026-01-02,A3,14,14:00-16:00,15.16
2026-01-02,A3,16,16:00-18:00,18.58
2026-01-02,A3,18,18:00-20:00,46.53
2026-01-02,A3,20,20:00-22:00,70.67
2026-01-02,A3,22,22:00-24:00,58.68
2026-01-02,A4,0,00:00-02:00,62.49
2026-01-02,A4,2,02:00-04:00,77.14
2026-01-02,A4,4,04:00-06:00,35.62
2026-01-02,A4,6,06:00-08:00,41.3
2026-01-02,A4,8,08:00-10:00,40.27
2026-01-02,A4,10,10:00-12:00,36.09
2026-01-02,A4,12,12:00-14:00,26.43
2026-01-02,A4,14,14:00-16:00,21.9
2026-01-02,A4,16,16:00-18:00,13.92
2026-01-02,A4,18,18:00-20:00,41.12
2026-01-02,A4,20,20:00-22:00,63.05
2026-01-02,A4,22,22:00-24:00,78.95
2026-01-02,A5,0,00:00-02:00,61.68
2026-01-02,A5,2,02:00-04:00,68.8
2026-01-02,A5,4,04:00-06:00,43.03
2026-01-02,A5,6,06:00-08:00,45.19
2026-01-02,A5,8,08:00-10:00,32.8
2026-01-02,A5,10,10:00-12:00,37.99
2026-01-02,A5,12,12:00-14:00,18.58
2026-01-02,A5,14,14:00-16:00,18.04
2026-01-02,A5,16,16:00-18:00,25.3
2026-01-02,A5,18,18:00-20:00,42.43
2026-01-02,A5,20,20:00-22:00,56.76
2026-01-02,A5,22,22:00-24:00,79.64
2026-01-02,A6,0,00:00-02:00,92.28
2026-01-02,A6,2,02:00-04:00,80.84
2026-01-02,A6,4,04:00-06:00,30.88
2026-01-02,A6,6,06:00-08:00,37.09
2026-01-02,A6,8,08:00-10:00,47.6
2026-01-02,A6,10,10:00-12:00,35.75
2026-01-02,A6,12,12:00-14:00,21.33
2026-01-02,A6,14,14:00-16:00,22.32
2026-01-02,A6,16,16:00-18:00,17.22
2026-01-02,A6,18,18:00-20:00,39.64
2026-01-02,A6,20,20:00-22:00,35.97
2026-01-02,A6,22,22:00-24:00,59.24
2026-01-02,B1,0,00:00-02:00,14.43
2026-01-02,B1,2,02:00-04:00,12.19
2026-01-02,B1,4,04:00-06:00,18.67
2026-01-02,B1,6,06:00-08:00,11.78
2026-01-02,B1,8,08:00-10:00,32.69
2026-01-02,B1,10,10:00-12:00,81.57
2026-01-02,B1,12,12:00-14:00,97.3
2026-01-02,B1,14,14:00-16:00,62.77
2026-01-02,B1,16,16:00-18:00,41.11
2026-01-02,B1,18,18:00-20:00,35.05
2026-01-02,B1,20,20:00-22:00,29.85
2026-01-02,B1,22,22:00-24:00,37.43
2026-01-02,B2,0,00:00-02:00,15.45
2026-01-02,B2,2,02:00-04:00,13.65
2026-01-02,B2,4,04:00-06:00,15.16
2026-01-02,B2,6,06:00-08:00,14.13
2026-01-02,B2,8,08:00-10:00,35.6
2026-01-02,B2,10,10:00-12:00,87.95
2026-01-02,B2,12,12:00-14:00,99.03
2026-01-02,B2,14,14:00-16:00,65.15
2026-01-02,B2,16,16:00-18:00,46.2
2026-01-02,B2,18,18:00-20:00,24.75
2026-01-02,B2,20,20:00-22:00,34.2
2026-01-02,B2,22,22:00-24:00,38.09
2026-01-02,B3,0,00:00-02:00,15.63
2026-01-02,B3,2,02:00-04:00,13.6
2026-01-02,B3,4,04:00-06:00,14.53
2026-01-02,B3,6,06:00-08:00,13.89
2026-01-02,B3,8,08:00-10:00,31.91
2026-01-02,B3,10,10:00-12:00,90.2
2026-01-02,B3,12,12:00-14:00,84.28
2026-01-02,B3,14,14:00-16:00,71.69
2026-01-02,B3,16,16:00-18:00,39.72
2026-01-02,B3,18,18:00-20:00,36.61
2026-01-02,B3,20,20:00-22:00,39.27
2026-01-02,B3,22,22:00-24:00,38.31
2026-01-02,C1,0,00:00-02:00,61.3
2026-01-02,C1,2,02:00-04:00,64.12
2026-01-02,C1,4,04:00-06:00,44.48
2026-01-02,C1,6,06:00-08:00,43.66
2026-01-02,C1,8,08:00-10:00,39.87
2026-01-02,C1,10,10:00-12:00,40.7
2026-01-02,C1,12,12:00-14:00,23.83
2026-01-02,C1,14,14:00-16:00,18.23
2026-01-02,C1,16,16:00-18:00,21.64
2026-01-02,C1,18,18:00-20:00,38.79
2026-01-02,C1,20,20:00-22:00,67.71
2026-01-02,C1,22,22:00-24:00,81.54
2026-01-02,C2,0,00:00-02:00,78.67
2026-01-02,C2,2,02:00-04:00,78.54
2026-01-02,C2,4,04:00-06:00,47.83
2026-01-02,C2,6,06:00-08:00,40.13
2026-01-02,C2,8,08:00-10:00,44.09
2026-01-02,C2,10,10:00-12:00,38.14
2026-01-02,C2,12,12:00-14:00,20.97
2026-01-02,C2,14,14:00-16:00,19.61
2026-01-02,C2,16,16:00-18:00,20.29
2026-01-02,C2,18,18:00-20:00,43.57
2026-01-02,C2,20,20:00-22:00,61.41
2026-01-02,C2,22,22:00-24:00,91.97
2026-01-02,C3,0,00:00-02:00,59.44
2026-01-02,C3,2,02:00-04:00,57.25
2026-01-02,C3,4,04:00-06:00,46.95
2026-01-02,C3,6,06:00-08:00,44.75
2026-01-02,C3,8,08:00-10:00,43.74
2026-01-02,C3,10,10:00-12:00,43.77
2026-01-02,C3,12,12:00-14:00,19.96
2026-01-02,C3,14,14:00-16:00,17.31
2026-01-02,C3,16,16:00-18:00,20.23
2026-01-02,C3,18,18:00-20:00,35.94
2026-01-02,C3,20,20:00-22:00,80.24
2026-01-02,C3,22,22:00-24:00,68.46
2026-01-02,C4,0,00:00-02:00,61.33
2026-01-02,C4,2,02:00-04:00,66.63
2026-01-02,C4,4,04:00-06:00,42.48
2026-01-02,C4,6,06:00-08:00,36.62
2026-01-02,C4,8,08:00-10:00,35.07
2026-01-02,C4,10,10:00-12:00,41.46
2026-01-02,C4,12,12:00-14:00,20.73
2026-01-02,C4,14,14:00-16:00,18.48
2026-01-02,C4,16,16:00-18:00,18.59
2026-01-02,C4,18,18:00-20:00,41.39
2026-01-02,C4,20,20:00-22:00,54.8
2026-01-02,C4,22,22:00-24:00,55.22
2026-01-02,C5,0,00:00-02:00,62.46
2026-01-02,C5,2,02:00-04:00,67.76
2026-01-02,C5,4,04:00-06:00,41.87
2026-01-02,C5,6,06:00-08:00,48.85
2026-01-02,C5,8,08:00-10:00,45.15
2026-01-02,C5,10,10:00-12:00,39.04
2026-01-02,C5,12,12:00-14:00,19.94
2026-01-02,C5,14,14:00-16:00,16.99
2026-01-02,C5,16,16:00-18:00,19.94
2026-01-02,C5,18,18:00-20:00,38.27
2026-01-02,C5,20,20:00-22:00,73.39
2026-01-02,C5,22,22:00-24:00,61.31
2026-01-02,C6,0,00:00-02:00,75.45
2026-01-02,C6,2,02:00-04:00,86.09
2026-01-02,C6,4,04:00-06:00,39.35
2026-01-02,C6,6,06:00-08:00,42.41
2026-01-02,C6,8,08:00-10:00,44.14
2026-01-02,C6,10,10:00-12:00,37.59
2026-01-02,C6,12,12:00-14:00,20.67
2026-01-02,C6,14,14:00-16:00,20.04
2026-01-02,C6,16,16:00-18:00,20.29
2026-01-02,C6,18,18:00-20:00,35.36
2026-01-02,C6,20,20:00-22:00,70.26
2026-01-02,C6,22,22:00-24:00,75.23
2026-01-02,Common Area,0,00:00-02:00,85.24
2026-01-02,Common Area,2,02:00-04:00,80.07
2026-01-02,Common Area,4,04:00-06:00,52.92
2026-01-02,Common Area,6,06:00-08:00,35.4
2026-01-02,Common Area,8,08:00-10:00,45.23
2026-01-02,Common Area,10,10:00-12:00,41.1
2026-01-02,Common Area,12,12:00-14:00,26.57
2026-01-02,Common Area,14,14:00-16:00,17.58
2026-01-02,Common Area,16,16:00-18:00,17.48
2026-01-02,Common Area,18,18:00-20:00,36.4
2026-01-02,Common Area,20,20:00-22:00,47.7
2026-01-02,Common Area,22,22:00-24:00,64.48
2026-01-03,A1,0,00:00-02:00,62.03
2026-01-03,A1,2,02:00-04:00,71.58
2026-01-03,A1,4,04:00-06:00,42.05
2026-01-03,A1,6,06:00-08:00,51.26
2026-01-03,A1,8,08:00-10:00,45.7
2026-01-03,A1,10,10:00-12:00,36.54
2026-01-03,A1,12,12:00-14:00,17.3
2026-01-03,A1,14,14:00-16:00,21.48
2026-01-03,A1,16,16:00-18:00,16.04
2026-01-03,A1,18,18:00-20:00,50.99
2026-01-03,A1,20,20:00-22:00,82.38
2026-01-03,A1,22,22:00-24:00,65.07
2026-01-03,A2,0,00:00-02:00,52.01
2026-01-03,A2,2,02:00-04:00,84.22
2026-01-03,A2,4,04:00-06:00,39.31
2026-01-03,A2,6,06:00-08:00,47.43
2026-01-03,A2,8,08:00-10:00,30.43
2026-01-03,A2,10,10:00-12:00,36.4
2026-01-03,A2,12,12:00-14:00,20.02
2026-01-03,A2,14,14:00-16:00,20.14
2026-01-03,A2,16,16:00-18:00,18.65
2026-01-03,A2,18,18:00-20:00,43.74
2026-01-03,A2,20,20:00-22:00,58.79
2026-01-03,A2,22,22:00-24:00,68.51
2026-01-03,A3,0,00:00-02:00,71.26
2026-01-03,A3,2,02:00-04:00,75.4
2026-01-03,A3,4,04:00-06:00,44.27
2026-01-03,A3,6,06:00-08:00,33.25
2026-01-03,A3,8,08:00-10:00,30.8
2026-01-03,A3,10,10:00-12:00,47.67
2026-01-03,A3,12,12:00-14:00,21.0
2026-01-03,A3,14,14:00-16:00,17.75
2026-01-03,A3,16,16:00-18:00,24.65
2026-01-03,A3,18,18:00-20:00,40.69
2026-01-03,A3,20,20:00-22:00,82.38
2026-01-03,A3,22,22:00-24:00,70.71
2026-01-03,A4,0,00:00-02:00,91.64
2026-01-03,A4,2,02:00-04:00,88.43
2026-01-03,A4,4,04:00-06:00,38.51
2026-01-03,A4,6,06:00-08:00,45.83
2026-01-03,A4,8,08:00-10:00,43.87
2026-01-03,A4,10,10:00-12:00,48.21
2026-01-03,A4,12,12:00-14:00,17.11
2026-01-03,A4,14,14:00-16:00,22.06
2026-01-03,A4,16,16:00-18:00,23.18
2026-01-03,A4,18,18:00-20:00,29.45
2026-01-03,A4,20,20:00-22:00,57.58
2026-01-03,A4,22,22:00-24:00,48.59
2026-01-03,A5,0,00:00-02:00,67.17
2026-01-03,A5,2,02:00-04:00,77.53
2026-01-03,A5,4,04:00-06:00,49.01
2026-01-03,A5,6,06:00-08:00,40.44
2026-01-03,A5,8,08:00-10:00,49.77
2026-01-03,A5,10,10:00-12:00,31.72
2026-01-03,A5,12,12:00-14:00,14.89
2026-01-03,A5,14,14:00-16:00,19.83
2026-01-03,A5,16,16:00-18:00,21.15
2026-01-03,A5,18,18:00-20:00,39.8
2026-01-03,A5,20,20:00-22:00,48.29
2026-01-03,A5,22,22:00-24:00,69.06
2026-01-03,A6,0,00:00-02:00,56.3
2026-01-03,A6,2,02:00-04:00,77.03
2026-01-03,A6,4,04:00-06:00,42.2
2026-01-03,A6,6,06:00-08:00,34.36
2026-01-03,A6,8,08:00-10:00,36.92
2026-01-03,A6,10,10:00-12:00,33.64
2026-01-03,A6,12,12:00-14:00,19.81
2026-01-03,A6,14,14:00-16:00,22.87
2026-01-03,A6,16,16:00-18:00,17.04
2026-01-03,A6,18,18:00-20:00,43.02
2026-01-03,A6,20,20:00-22:00,64.43
2026-01-03,A6,22,22:00-24:00,61.67
2026-01-03,B1,0,00:00-02:00,14.76
2026-01-03,B1,2,02:00-04:00,12.67
2026-01-03,B1,4,04:00-06:00,13.75
2026-01-03,B1,6,06:00-08:00,12.3
2026-01-03,B1,8,08:00-10:00,45.31
2026-01-03,B1,10,10:00-12:00,80.42
2026-01-03,B1,12,12:00-14:00,71.6
2026-01-03,B1,14,14:00-16:00,82.57
2026-01-03,B1,16,16:00-18:00,34.41
2026-01-03,B1,18,18:00-20:00,33.84
2026-01-03,B1,20,20:00-22:00,38.22
2026-01-03,B1,22,22:00-24:00,38.98
2026-01-03,B2,0,00:00-02:00,13.81
2026-01-03,B2,2,02:00-04:00,13.7
2026-01-03,B2,4,04:00-06:00,14.38
2026-01-03,B2,6,06:00-08:00,9.82
2026-01-03,B2,8,08:00-10:00,27.05
2026-01-03,B2,10,10:00-12:00,96.4
2026-01-03,B2,12,12:00-14:00,99.74
2026-01-03,B2,14,14:00-16:00,77.01
2026-01-03,B2,16,16:00-18:00,38.03
2026-01-03,B2,18,18:00-20:00,36.63
2026-01-03,B2,20,20:00-22:00,51.16
2026-01-03,B2,22,22:00-24:00,40.88
2026-01-03,B3,0,00:00-02:00,14.71
2026-01-03,B3,2,02:00-04:00,12.85
2026-01-03,B3,4,04:00-06:00,11.39
2026-01-03,B3,6,06:00-08:00,15.46
2026-01-03,B3,8,08:00-10:00,31.03
2026-01-03,B3,10,10:00-12:00,62.93
2026-01-03,B3,12,12:00-14:00,72.24
2026-01-03,B3,14,14:00-16:00,67.02
2026-01-03,B3,16,16:00-18:00,43.86
2026-01-03,B3,18,18:00-20:00,39.63
2026-01-03,B3,20,20:00-22:00,34.96
2026-01-03,B3,22,22:00-24:00,42.77
2026-01-03,C1,0,00:00-02:00,70.81
2026-01-03,C1,2,02:00-04:00,60.96
2026-01-03,C1,4,04:00-06:00,49.14
2026-01-03,C1,6,06:00-08:00,43.23
2026-01-03,C1,8,08:00-10:00,33.78
2026-01-03,C1,10,10:00-12:00,38.86
2026-01-03,C1,12,12:00-14:00,17.37
2026-01-03,C1,14,14:00-16:00,15.85
2026-01-03,C1,16,16:00-18:00,22.78
2026-01-03,C1,18,18:00-20:00,51.46
2026-01-03,C1,20,20:00-22:00,55.32
2026-01-03,C1,22,22:00-24:00,75.91
2026-01-03,C2,0,00:00-02:00,63.17
2026-01-03,C2,2,02:00-04:00,64.89
2026-01-03,C2,4,04:00-06:00,36.45
2026-01-03,C2,6,06:00-08:00,34.82
2026-01-03,C2,8,08:00-10:00,40.29
2026-01-03,C2,10,10:00-12:00,35.01
2026-01-03,C2,12,12:00-14:00,20.81
2026-01-03,C2,14,14:00-16:00,19.85
2026-01-03,C2,16,16:00-18:00,19.28
2026-01-03,C2,18,18:00-20:00,34.55
2026-01-03,C2,20,20:00-22:00,63.94
2026-01-03,C2,22,22:00-24:00,77.93
2026-01-03,C3,0,00:00-02:00,75.26
2026-01-03,C3,2,02:00-04:00,59.74
2026-01-03,C3,4,04:00-06:00,40.6
2026-01-03,C3,6,06:00-08:00,44.51
2026-01-03,C3,8,08:00-10:00,29.98
2026-01-03,C3,10,10:00-12:00,43.26
2026-01-03,C3,12,12:00-14:00,18.01
2026-01-03,C3,14,14:00-16:00,21.71
2026-01-03,C3,16,16:00-18:00,17.71
2026-01-03,C3,18,18:00-20:00,29.17
2026-01-03,C3,20,20:00-22:00,52.91
2026-01-03,C3,22,22:00-24:00,70.5
2026-01-03,C4,0,00:00-02:00,72.73
2026-01-03,C4,2,02:00-04:00,60.5
2026-01-03,C4,4,04:00-06:00,43.83
2026-01-03,C4,6,06:00-08:00,30.03
2026-01-03,C4,8,08:00-10:00,39.6
2026-01-03,C4,10,10:00-12:00,32.73
2026-01-03,C4,12,12:00-14:00,18.04
2026-01-03,C4,14,14:00-16:00,20.14
2026-01-03,C4,16,16:00-18:00,17.42
2026-01-03,C4,18,18:00-20:00,37.69
2026-01-03,C4,20,20:00-22:00,80.57
2026-01-03,C4,22,22:00-24:00,63.94
2026-01-03,C5,0,00:00-02:00,78.77
2026-01-03,C5,2,02:00-04:00,58.14
2026-01-03,C5,4,04:00-06:00,43.18
2026-01-03,C5,6,06:00-08:00,48.65
2026-01-03,C5,8,08:00-10:00,25.17
2026-01-03,C5,10,10:00-12:00,35.22
2026-01-03,C5,12,12:00-14:00,21.73
2026-01-03,C5,14,14:00-16:00,19.39
2026-01-03,C5,16,16:00-18:00,21.11
2026-01-03,C5,18,18:00-20:00,36.38
2026-01-03,C5,20,20:00-22:00,70.91
2026-01-03,C5,22,22:00-24:00,68.37
2026-01-03,C6,0,00:00-02:00,82.26
2026-01-03,C6,2,02:00-04:00,72.67
2026-01-03,C6,4,04:00-06:00,42.03
2026-01-03,C6,6,06:00-08:00,37.53
2026-01-03,C6,8,08:00-10:00,37.07
2026-01-03,C6,10,10:00-12:00,37.4
2026-01-03,C6,12,12:00-14:00,21.18
2026-01-03,C6,14,14:00-16:00,18.74
2026-01-03,C6,16,16:00-18:00,20.87
2026-01-03,C6,18,18:00-20:00,52.45
2026-01-03,C6,20,20:00-22:00,79.15
2026-01-03,C6,22,22:00-24:00,66.58
2026-01-03,Common Area,0,00:00-02:00,82.61
2026-01-03,Common Area,2,02:00-04:00,65.72
2026-01-03,Common Area,4,04:00-06:00,27.77
2026-01-03,Common Area,6,06:00-08:00,33.95
2026-01-03,Common Area,8,08:00-10:00,28.78
2026-01-03,Common Area,10,10:00-12:00,37.89
2026-01-03,Common Area,12,12:00-14:00,20.06
2026-01-03,Common Area,14,14:00-16:00,25.03
2026-01-03,Common Area,16,16:00-18:00,20.98
2026-01-03,Common Area,18,18:00-20:00,38.69
2026-01-03,Common Area,20,20:00-22:00,78.71
2026-01-03,Common Area,22,22:00-24:00,46.78
2026-01-04,A1,0,00:00-02:00,72.47
2026-01-04,A1,2,02:00-04:00,78.09
2026-01-04,A1,4,04:00-06:00,31.13
